,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
133,60,90,Nd,133, ,3553.0,1, ,2,5,0.0083, ,22,eV,0.000000000000054968399406191046,0.0000000000002073807795779026, , , , , , , , , , , , , , ,2021-06-09
134,60,90,Nd,134, ,3582.0,1, ,2 1,3,0.0045, ,18,eV,0.00000000000010138615890475238,0.00000000000025346539726188096, , , , , , , , , , , , , , ,2021-06-09
135,60,90,Nd,135, ,3590.0,1, ,1 2,6,0.004, ,23,eV,0.00000000000011405942876784643,0.000000000000019836422394408075, , , , , , , , , , , , , , ,2021-06-09
136,60,90,Nd,136, ,3606.0,1, ,1,7,0.008, ,3,eV,0.00000000000005702971438392322,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
137,60,90,Nd,137, ,3642.0,1, ,1,8,0.017, ,6,eV,0.00000000000002683751265125798,0.00000000000007603961917856428, , , , , , , , , , , , , , ,2021-06-09
138,60,90,Nd,138, ,3653.0,1, ,1,9,0.059, ,12,eV,0.000000000000007732842628328571,0.00000000000003801980958928214, , , , , , , , , , , , , , ,2021-06-09
139,60,90,Nd,139, ,3672.0,1, ,1,10,0.019, ,5,eV,0.000000000000024012511319546616,0.00000000000009124754301427714, , , , , , , , , , , , , , ,2021-06-09
140,60,90,Nd,140, ,3698.0,1, ,2 1,4,0.0030, ,13,eV,0.00000000000015207923835712856,0.00000000000035095208851645056, , , , , , , , , , , , , , ,2021-06-09
141,60,90,Nd,141, ,3706.0,1, ,1,11,0.043, ,15,eV,0.000000000000010610179420264784,0.000000000000030415847671425714, , , , , , , , , , , , , , ,2021-06-09
142,60,90,Nd,142, ,3711.0,1, ,1,12,0.033, ,8,eV,0.000000000000013825385305193506,0.00000000000005702971438392322, , , , , , , , , , , , , , ,2021-06-09
143,60,90,Nd,143, ,3720.0,1, ,1,13,0.025, ,10,eV,0.00000000000001824950860285543,0.00000000000004562377150713857, , , , , , , , , , , , , , ,2021-06-09
144,60,90,Nd,144, ,3737.0,1, ,2 1,5,0.0023, ,14,eV,0.00000000000019836422394408074,0.0000000000003258840821938469, , , , , , , , , , , , , , ,2021-06-09
145,60,90,Nd,145, ,3751.0,1, ,1,14,0.042, ,9,eV,0.000000000000010862802739794897,0.00000000000005069307945237619, , , , , , , , , , , , , , ,2021-06-09
146,60,90,Nd,146, ,3768.0,1, ,1,15,0.009, ,3,eV,0.00000000000005069307945237619,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
147,60,90,Nd,147, ,3860.0,1, ,1,16,0.007, ,3,eV,0.00000000000006517681643876938,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
148,60,90,Nd,148, ,3888.0,1, ,1 2,7,0.0056, ,23,eV,0.00000000000008147102054846173,0.00000000000019836422394408074, , , , , , , , , , , , , , ,2021-06-09
