,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
187,25,30,Mn,187, ,9942.05,0.23, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
188,25,30,Mn,188, ,9944.4,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
189,25,30,Mn,189, ,9956.0,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
190,25,30,Mn,190, ,9966.7,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
191,25,30,Mn,191, ,9971.8,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
192,25,30,Mn,192, ,9973.0,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
193,25,30,Mn,193, ,9985.03,0.25, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
194,25,30,Mn,194, ,9986.9,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
195,25,30,Mn,195, ,9995.2,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
196,25,30,Mn,196, ,9999.2,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
197,25,30,Mn,197, ,10007.2,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
198,25,30,Mn,198, ,10010.0,0.7, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
199,25,30,Mn,199, ,10016.2,0.5, ,3/2,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
200,25,30,Mn,200, ,10020.4,0.5, ,3/2,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
201,25,30,Mn,201, ,10025.2,0.5, ,3/2,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
202,25,30,Mn,202, ,10041.4,0.5, ,3/2,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
203,25,30,Mn,203, ,10056.4,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
204,25,30,Mn,204, ,10066.1,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
205,25,30,Mn,205, ,10071.8,0.5, ,1/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
206,25,30,Mn,206, ,10093.7,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
207,25,30,Mn,207, ,10109.4,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
208,25,30,Mn,208, ,10117.2,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
209,25,30,Mn,209, ,10192.9,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
210,25,30,Mn,210, ,10271.1,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
211,25,30,Mn,211, ,10305.0,0.6, ,1/2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
212,25,30,Mn,212, ,10326.5,0.7, ,1/2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
